embed,epoch,batch,learning_rate,dropout,recurrent_dropout,loss,accuracy,test_mae,tain_mae,train_mae
4000,15,50,0.0001,0.2,0.2,6.693723201751709,0.013944223523139954,0.002832217374816537,,0.0028272548224776983
5000,15,50,0.0001,0.2,0.2,6.669362545013428,0.0219123512506485,0.002832207828760147,,0.002825778676196933
500,30,50,0.0001,0.2,0.2,6.819154739379883,0.009960159659385681,0.0028321505524218082,,0.002828279510140419
1000,30,50,0.0001,0.2,0.2,6.750465393066406,0.03187251091003418,0.0028319908306002617,,0.002823036629706621
2000,30,50,0.0001,0.2,0.2,6.642911911010742,0.04581673443317413,0.0028313864022493362,,0.0028053305577486753
3000,30,50,0.0001,0.2,0.2,6.5677714347839355,0.05776892602443695,0.0028304073493927717,,0.002776113338768482
4000,30,50,0.0001,0.2,0.2,6.525740623474121,0.055776894092559814,0.002828720724210143,,0.0027337358333170414
5000,30,50,0.0001,0.2,0.2,6.495693206787109,0.055776894092559814,0.0028269593603909016,,0.002672939794138074
500,15,25,0.1,0.5,0.5,10.376215934753418,0.013944223523139954,0.002803390845656395,,0.00224415329284966
1000,15,25,0.1,0.5,0.5,11.10705852508545,0.0219123512506485,0.002779379254207015,,0.0020213802345097065
2000,15,25,0.1,0.5,0.5,12.44918441772461,0.019920319318771362,0.00278187682852149,,0.0019430512329563498
3000,15,25,0.1,0.5,0.5,16.343259811401367,0.007968127727508545,0.0028157015331089497,,0.001878785784356296
4000,15,25,0.1,0.5,0.5,16.849647521972656,0.007968127727508545,0.0028129229322075844,,0.0018059677677229047
5000,15,25,0.1,0.5,0.5,19.920516967773438,0.011952191591262817,0.002802167786285281,,0.0017512314952909946
500,30,25,0.1,0.5,0.5,14.426573753356934,0.011952191591262817,0.002805681200698018,,0.001669162418693304
1000,30,25,0.1,0.5,0.5,18.3055362701416,0.017928287386894226,0.0027852454222738743,,0.0014992953510954976
2000,30,25,0.1,0.5,0.5,19.922000885009766,0.017928287386894226,0.002793100895360112,,0.001491048140451312
3000,30,25,0.1,0.5,0.5,24.92084312438965,0.01593625545501709,0.002792763989418745,,0.00134381465613842
