description,emoji
"luggage,luggages",:luggage:
"eyeglass,eyeglasses,glasses",:eyeglasses:
"sunglasses,sunglass,shades",:dark_sunglasses:
"umbrella,umbrellas",:umbrella:
"dog,dogs,doggy,puppy,puppies",:dog:
"cat,cats,kitten,kitten,kitties",:cat:
"mouse,mice",:mouse:
"hamster,hamsters",:hamster:
"rabbit,rabbits",:rabbit:
"fox,foxes,foxy",:fox:
"bear,bears",:bear:
"panda,pandas",:panda_face:
"polar bear,polar bears",:polar_bear:
"koala,koalas",:koala:
"tiger,tigers",:tiger:
"lion,lions",:lion:
"cow,cows",:cow:
"pig,pigs,piggy",:pig:
"frog,frogs,froggy,toad,toads",:frog:
"monkey,monkies,ape,apes",:monkey:
"chicken,chickens,roaster,roasters,hen,hens",:chicken:
"penguin,penguins",:penguin:
"bird,birds,birdies",:bird:
"chick,chicks",:hatching_chick:
"duck,ducks",:duck:
"eagle,eagles,bald eagle,bald ealges",:eagle:
"owl,owls",:owl:
"bat,bats",:bat:
"wolf,wolfs,werewolf,werewolfs",:wolf:
"boar,boars",:boar:
"horse,horses,pony,ponies",:horse:
"unicorn,unicorns",:unicorn:
"bee,bees,wasp,wasps",:bee:
"bug,bugs",:bug:
"butterfly,buttflies",:butterfly:
"snail,snails",:snail:
"worm,worms",:worm:
"lady bug,lady bugs",:lady_beetle:
"ant,ants",:ant:
fly,:fly:
"mosquito,mosquitos",:mosquito:
"cockroach,cockroaches",:cockroach:
"beetle,beetles",:beetle:
"cricket,crickets",:cricket:
"spider,spiders",:spider:
"web,webs",:spider_web:
"scorpion,scorpions",:scorpion:
"turtle,turtles",:turtle:
"snake,snakes",:snake:
"lizard,lizards",:lizard:
t rex,:t_rex:
"dinosaur,dinosaurs",:sauropod:
"octopus,octopi",:octopus:
"squid,squids",:squid:
"shrimp,shrimps",:shrimp:
"lobster,lobsters",:lobster:
"crab,crabs",:crab:
"fish,fishes",:fish:
"seals,seal",:seal:
"dolphin,dolphins",:dolphin:
"whale,whales",:whale:
"shark,sharks",:shark:
"crocodile,crocodiles,alligator,alligators",:crocodile:
"leopard,leopards",:leopard:
"zebra,zebras",:zebra:
"gorilla,gorillas",:gorilla:
"orangutan,orangutans",:orangutan:
"elephant,elephants",:elephant:
"bison,bisons",:bison:
"hippopotamus,hippo,hippos",:hippopotamus:
"rhino,rhinos",:rhino:
"camel,camels",:camel:
"giraffe,giraffes",:giraffe:
"kangaroo,kangaroos",:kangaroo:
"ox,oxes",:ox:
"ram,rams",:ram:
"sheep,sheeps",:sheep:
"llama,llamas",:llama:
"goat,goats",:goat:
deer,:deer:
"feather,feathers",:feather:
"turkey,turkies,thanksgiving,november",:turkey:
"dodo,dodos",:dodo:
"peacock,peacocks",:peacock:
"parrot,parrots",:parrot:
"swan,swans",:swan:
"flamingo,flamingos",:flamingo:
"dove,doves",:dove:
"raccoon,raccoons",:raccoon:
"skunk,skunks",:skunk:
"badger,badgers",:badger:
"beaver,beavers",:beaver:
"otter,otters",:otter:
"sloth,sloths,slow",:sloth:
"rat,rats",:rat:
"chipmunk,chipmunks,squirrel,squirrels",:chipmunk:
"hedgehog,hedgehogs",:hedgehog:
"paw print,paw prints,paw,paws",:feet:
"dragon,dragons,mythical",:dragon:
"cactus,cacti,cactuses",:cactus:
"christmas tree,christmas trees,holiday,holidays",:christmas_tree:
"tree,trees",:evergreen_tree:
"seedling,seedlings",:seedling:
"herb,herbs",:herb:
"four leaf clover,clover,clovers",:four_leaf_clover:
"bamboo,bamboos",:bamboo:
"leaf,leaves",:leaves:
fall,:fallen_leaf:
"nest,nests",:nest_with_eggs:
"mushroom,mushrooms",:mushroom:
"shell,shells",:shell:
"coral,corals",:coral:
"rock,rocks",:rock:
"wood,woods,woody,timber,lumber,timbers,lumbers",:wood:
"bouqet,bouqets",:bouquet:
"rose,roses,flower,flowers",:rose:
"tulips,tulip",:tulip:
lotus,:lotus:
"blossom,blossomed,blossoms,blossoming",:blossom:
"sunflower,sunflowers",:sunflower:
"sun,summer,sunny,bright",:sun_with_face:
"moon,night",:full_moon_with_face:
crescent,:crescent_moon:
"earth,americas",:earth_americas:
africa,:earth_africa:
asia,:earth_asia:
"planet,planets,space,outspace,galaxy",:ringed_planet:
"star,stars",:star2:
"sparkle,sparkles,sparkling,sparkled",:sparkles:
"zap,zaps,zapped,zapping,electric,electricity,shock,shocked,shocks,shocking",:zap:
"comet,comets,astroid,astroids",:comet:
"boom,explosion,explsions,bang,pop",:boom:
"fire,flame,flames,fires,heat",:fire:
"tornado,tornados",:cloud_tornado:
"rainbow,rainbows",:rainbow:
"cloud,clouds",:cloud:
"rain,rained,raining,rains,rain cloud",:cloud_rain:
"thunder,thunder storm,lightning,thundered,thundering,thunders,storms,storming,stormed",:thunder_cloud_rain:
"snow,snowing,snowed,snows",:cloud_snow:
"snowflake,snowflakes",:snowflake:
"snowman,snowmans",:snowman2:
"dash,dashes,wind,blow,blowing,blows,blowed,windy",:dash:
"drops,droplet,droplets,splash,splashes",:sweat_drops:
"ocean,oceans,water,wave,waves",:ocean:
"fog,foggy",:fog:
"apple,apples,fruit,fruits",:apple:
"pear,pears",:pear:
"tangerine,tangerines,orange,oranges",:tangerine:
"lemon,lemons,sour",:lemon:
"banana,bananas",:banana:
"watermelon,watermelons",:watermelon:
"grape,grapes",:grapes:
"blueberries,berry,berries",:blueberries:
"strawberry,strawberries",:strawberry:
"melon,melons",:melon:
"cherries,cherry",:cherries:
"peach,peaches",:peach:
"mangos,mango",:mango:
"pineapple,pineapples",:pineapple:
"coconut,coconuts",:coconut:
"kiwi,kiwis",:kiwi:
"tomato,tomatoes",:tomato:
"eggplant,eggplants",:eggplant:
"avocado,avocados,guacamole",:avocado:
"olive,olives",:olive:
broccoli,:broccoli:
"lettuce,lettuces,cabbage,cabbages,kelp",:leafy_green:
"bell pepper,bell peppers",:bell_pepper:
"cucumber,cucumbers",:cucumber:
"hot pepper,hot peppers,spicy",:hot_pepper:
"corn,corn on the cobb,cobb",:corn:
"carrot,carrots",:carrot:
"garlic,garlics",:garlic:
"onion,onions",:onion:
"potato,potatoes",:potato:
"sweet potato,sweet potatoes",:sweet_potato:
